WINBOUNDS idiom=pad bounds=1376.00x1032.00 safeArea=(t32.00 b25.00 l0.00 r0.00) screen=1032.00x1376.00
WINBOUNDS traits h=2 v=2 layoutMargins=(l8.00 r8.00)
UIKIT navBar+tab: navBarH=54.00 tabBarH=64.00 innerSafe=(t86.00 b25.00 l0.00 r0.00) content=1032.00x1265.00
UIKIT tabOnly: innerSafe=(t96.00 b25.00 l0.00 r0.00) content=1032.00x1255.00 layoutMargins=(l20.00 r20.00)
ADAPT[w640] content=640.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w644] content=644.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w648] content=648.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w652] content=652.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w656] content=656.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w660] content=660.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w664] content=664.00x796.00 insets=(t32.00 b72.00 lead0.00 trail0.00)
ADAPT[w668] content=668.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w672] content=672.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w676] content=676.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w680] content=680.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w684] content=684.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w688] content=688.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w692] content=692.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w696] content=696.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w700] content=700.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1020] content=1020.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1021] content=1021.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1022] content=1022.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1023] content=1023.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1024] content=1024.00x804.00 insets=(t96.00 b0.00 lead0.00 trail0.00)
ADAPT[w1025] content=745.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1026] content=746.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1027] content=747.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1028] content=748.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1029] content=749.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1030] content=750.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1031] content=751.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1032] content=752.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1033] content=753.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1034] content=754.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1035] content=755.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
ADAPT[w1036] content=756.00x868.00 insets=(t32.00 b0.00 lead280.00 trail0.00)
@@DONE10@@
